year 01 02 03 04 05 06 07 08 09 10 11 12
1982 10065 10070 10075 10101 10119 10139 10145 10147 10143 10125 10111 10093
1983 10098 10103 10101 10101 10117 10133 10144 10141 10121 10105 10097 10085
1984 10071 10053 10081 10101 10111 10132 10132 10122 10117 10113 10093 10051
1985 10077 10054 10061 10075 10094 10126 10136 10124 10115 10107 10084 10076
1986 10047 10069 10084 10093 10116 10110 10128 10120 10122 10109 10093 10097
1987 10071 10074 10107 10115 10126 10131 10148 10143 10135 10112 10089 10078
1988 10078 10067 10068 10101 10108 10139 10128 10125 10106 10091 10074 10066
1989 10054 10068 10073 10076 10101 10128 10121 10133 10117 10099 10087 10088
1990 10069 10100 10083 10097 10103 10124 10128 10135 10133 10114 10091 10077
1991 10063 10065 10095 10099 10126 10133 10134 10140 10133 10111 10101 10085
1992 10101 10077 10105 10110 10111 10125 10147 10128 10112 10112 10095 10073
1993 10068 10064 10101 10114 10124 10139 10135 10151 10134 10120 10090 10070
1994 10067 10065 10094 10108 10120 10129 10141 10149 10135 10119 10098 10093
1995 10070 10078 10072 10096 10116 10130 10127 10132 10120 10102 10088 10075
1996 10057 10062 10074 10091 10122 10124 10125 10126 10103 10099 10084 10056
1997 10073 10048 10086 10119 10119 10147 10143 10151 10147 10132 10114 10086
1998 10078 10102 10100 10110 10115 10122 10125 10128 10117 10097 10074 10059
1999 10049 10062 10064 10087 10121 10130 10132 10139 10124 10103 10080 10066
2000 10067 10065 10074 10086 10117 10135 10131 10122 10120 10092 10065 10048
2001 10072 10036 10078 10094 10122 10122 10134 10133 10118 10099 10084 10077
2002 10072 10066 10090 10100 10120 10131 10147 10137 10130 10105 10098 10091
2003 10068 10066 10085 10105 10115 10131 10134 10130 10122 10102 10092 10063
2004 10075 10062 10067 10107 10106 10144 10140 10135 10131 10111 10095 10073
2005 10063 10087 10085 10110 10123 10121 10133 10136 10120 10100 10084 10076
2006 10049 10074 10063 10078 10121 10135 10145 10146 10132 10129 10099 10087
2007 10067 10071 10076 10106 10118 10115 10143 10134 10115 10102 10076 10061
2008 10049 10047 10083 10099 10123 10132 10135 10136 10118 10109 10080 10065
2009 10060 10052 10086 10093 10108 10127 10131 10128 10113 10113 10086 10080
2010 10060 10078 10090 10097 10103 10132 10126 10122 10107 10093 10084 10049
2011 10051 10051 10064 10091 10122 10135 10132 10135 10125 10100 10084 10050
2012 10060 10071 10063 10107 10115 10134 10129 10140 10122 10108 10093 10077
2013 10058 10072 10072 10098 10108 10112 10126 10131 10115 10107 10076 10077
2014 10051 10061 10092 10091 10118 10126 10139 10145 10130 10115 10097 10074
2015 10065 10079 10089 10105 10131 10134 10150 10147 10137 10136 10095 10075
2016 10100 10087 10093 10109 10110 10123 10131 10124 10110 10104 10088 10067
2017 10060 10071 10074 10097 10117 10135 10132 10130 10123 10094 10074 10073
2018 10048 10070 10061 10095 10122 10137 10128 10131 10123 10110 10094 10062
2019 10068 10090 10084 10101 10123 10138 10142 10143 10145 10114 10097 10084
2020 10072 10074 10091 10105 10124 10129 10127 10125 10116 10100 10090 10065
2021 10056 10050 10081 10097 10113 10131 10123 10133 10120 10097 10083 10065
2022 10065 10069 10075 10085 10104 10117 10131 10122 10113 10093 10086 10056
