year,month,mslp_anomaly,mslp_standardised,soi
1985,03,1.3,0.8,0.8
1985,04,1.9,1.2,1.2
1985,05,0.7,0.4,0.4
1985,06,-0.6,-0.4,-0.4
1985,07,-0.2,-0.1,-0.1
1985,08,1.6,1.0,1.0
1985,09,0.0,0.0,0.0
1985,10,-0.6,-0.4,-0.4
1985,11,-0.3,-0.2,-0.2
1985,12,0.4,0.2,0.2
1986,01,1.6,1.0,1.0
1986,02,-1.7,-1.0,-1.0
1986,03,0.8,0.5,0.5
1986,04,0.5,0.3,0.3
1986,05,-0.4,-0.2,-0.2
1986,06,1.6,1.0,1.0
1986,07,0.5,0.3,0.3
1986,08,-0.6,-0.4,-0.4
1986,09,-0.8,-0.5,-0.5
1986,10,1.1,0.6,0.6
1986,11,-2.0,-1.2,-1.2
1986,12,-2.4,-1.4,-1.4
1987,01,-1.1,-0.7,-0.7
1987,02,-2.1,-1.2,-1.2
1987,03,-2.1,-1.3,-1.3
1987,04,-2.3,-1.4,-1.4
1987,05,-2.1,-1.3,-1.3
1987,06,-1.8,-1.1,-1.1
1987,07,-2.2,-1.4,-1.4
1987,08,-1.5,-0.9,-0.9
1987,09,-1.7,-1.0,-1.0
1987,10,-0.6,-0.4,-0.4
1987,11,-0.0,-0.0,-0.0
1987,12,-0.8,-0.5,-0.5
1988,01,-0.2,-0.1,-0.1
1988,02,-0.6,-0.4,-0.4
1988,03,1.1,0.6,0.6
1988,04,0.2,0.1,0.1
1988,05,1.5,0.9,0.9
1988,06,0.1,0.1,0.1
1988,07,1.7,1.0,1.0
1988,08,2.5,1.5,1.5
1988,09,3.0,1.8,1.8
1988,10,2.3,1.4,1.4
1988,11,2.8,1.7,1.7
1988,12,2.0,1.2,1.2
1989,01,2.5,1.5,1.5
1989,02,2.0,1.2,1.2
1989,03,1.8,1.1,1.1
1989,04,2.7,1.6,1.6
1989,05,2.0,1.2,1.2
1989,06,1.2,0.7,0.7
1989,07,1.5,0.9,0.9
1989,08,-0.5,-0.3,-0.3
1989,09,0.8,0.5,0.5
1989,10,1.3,0.8,0.8
1989,11,-0.4,-0.2,-0.2
1989,12,-0.9,-0.5,-0.5
1990,01,-0.1,-0.1,-0.1
1990,02,-3.0,-1.8,-1.8
1990,03,-0.7,-0.4,-0.4
1990,04,0.3,0.2,0.2
1990,05,2.0,1.2,1.2
1990,06,0.5,0.3,0.3
1990,07,0.9,0.5,0.5
1990,08,-0.3,-0.2,-0.2
1990,09,-1.2,-0.7,-0.7
1990,10,0.4,0.3,0.3
1990,11,-0.8,-0.5,-0.5
1990,12,-0.4,-0.2,-0.2
1991,01,1.0,0.6,0.6
1991,02,0.4,0.3,0.3
1991,03,-1.1,-0.7,-0.7
1991,04,-1.0,-0.6,-0.6
1991,05,-1.7,-1.0,-1.0
1991,06,-0.2,-0.1,-0.1
1991,07,0.0,0.0,0.0
1991,08,-0.7,-0.4,-0.4
1991,09,-2.5,-1.5,-1.5
1991,10,-1.7,-1.0,-1.0
1991,11,-1.1,-0.7,-0.7
1991,12,-2.9,-1.8,-1.8
1992,01,-4.7,-2.9,-2.9
1992,02,-1.5,-0.9,-0.9
1992,03,-3.3,-2.0,-2.0
1992,04,-1.7,-1.0,-1.0
1992,05,0.4,0.3,0.3
1992,06,-1.0,-0.6,-0.6
1992,07,-1.0,-0.6,-0.6
1992,08,0.6,0.4,0.4
1992,09,0.1,0.1,0.1
1992,10,-2.3,-1.4,-1.4
1992,11,-1.1,-0.7,-0.7
1992,12,-0.9,-0.6,-0.6
1993,01,-1.5,-0.9,-0.9
1993,02,-1.2,-0.7,-0.7
1993,03,-0.8,-0.5,-0.5
1993,04,-1.9,-1.2,-1.2
1993,05,-0.6,-0.3,-0.3
1993,06,-1.4,-0.8,-0.8
1993,07,-1.3,-0.8,-0.8
1993,08,-1.6,-0.9,-0.9
1993,09,-1.2,-0.7,-0.7
1993,10,-1.8,-1.1,-1.1
1993,11,-0.1,-0.1,-0.1
1993,12,0.3,0.2,0.2
1994,01,-0.2,-0.1,-0.1
