year,month,soi
1904,03,0.888
1904,04,3.635
1904,05,0.996
1904,06,-1.011
1904,07,-0.87
1904,08,-0.105
1904,09,-0.01
1904,10,-0.108
1904,11,-1.812
1904,12,0.178
1905,01,-1.083
1905,02,-1.838
1905,03,-3.506
1905,04,-3.05
1905,05,-1.678
1905,06,-2.295
1905,07,-2.105
1905,08,-0.964
1905,09,-0.697
1905,10,-0.828
1905,11,-1.808
1905,12,-1.569
1906,01,-0.427
1906,02,-0.875
1906,03,-0.56
1906,04,-0.836
1906,05,-1.027
1906,06,-0.715
1906,07,0.678
1906,08,1.426
1906,09,1.748
1906,10,0.807
1906,11,1.953
1906,12,0.302
1907,01,0.561
1907,02,-0.225
1907,03,-0.315
1907,04,-0.836
1907,05,-0.57
1907,06,0.449
1907,07,-0.031
1907,08,-1.048
1907,09,-0.068
1907,10,-0.435
1907,11,-0.579
1907,12,0.65
1908,01,-0.987
1908,02,0.837
1908,03,-0.412
1908,04,1.02
1908,05,0.18
1908,06,-0.631
1908,07,1.433
1908,08,0.204
1908,09,1.666
1908,10,0.721
1908,11,0.087
1908,12,-0.712
1909,01,-0.297
1909,02,-0.395
1909,03,-0.148
1909,04,-1.785
1909,05,0.074
1909,06,2.633
1909,07,1.083
1909,08,0.892
1909,09,0.064
1909,10,0.203
1909,11,0.741
1909,12,0.414
1910,01,0.601
1910,02,1.42
1910,03,1.25
1910,04,0.388
1910,05,0.087
1910,06,2.493
1910,07,2.065
1910,08,0.892
1910,09,1.46
1910,10,1.044
1910,11,1.742
1910,12,1.659
1911,01,0.304
1911,02,0.009
1911,03,0.223
1911,04,0.05
1911,05,-0.735
1911,06,-1.552
1911,07,-1.258
1911,08,-1.415
1911,09,-0.875
1911,10,-1.3
1911,11,-0.806
1911,12,-0.268
1912,01,-1.114
1912,02,-1.827
1912,03,-1.143
1912,04,-2.27
1912,05,-1.122
1912,06,-0.991
1912,07,-0.049
1912,08,-0.942
1912,09,-0.397
1912,10,-0.973
1912,11,0.125
1912,12,-1.009
1913,01,-0.41
1913,02,-0.627
1913,03,0.008
1913,04,-0.794
1913,05,-0.565
1913,06,-0.596
1913,07,-0.124
1913,08,-0.92
1913,09,-0.95
1913,10,-1.018
1913,11,-1.249
1913,12,-0.892
1914,01,-0.737
1914,02,0.185
1914,03,0.88
1914,04,-2.27
1914,05,-1.213
1914,06,-2.639
1914,07,-0.974
1914,08,-1.84
1914,09,-1.474
1914,10,-0.729
1914,11,-0.47
1914,12,0.169
1915,01,-2.711
1915,02,-0.594
1915,03,-2.495
1915,04,-1.49
1915,05,1.216
1915,06,2.68
1915,07,2.528
1915,08,1.298
1915,09,1.344
1915,10,0.948
1915,11,-1.743
1915,12,0.991
1916,01,0.561
1916,02,-0.524
1916,03,-0.835
1916,04,0.008
1916,05,0.432
1916,06,0.746
1916,07,2.574
1916,08,1.513
1916,09,0.417
1916,10,0.359
1916,11,0.774
1916,12,1.623
1917,01,0.457
1917,02,0.984
1917,03,1.862
1917,04,2.581
1917,05,2.397
1917,06,2.389
1917,07,2.827
1917,08,3.483
1917,09,2.843
1917,10,1.512
1917,11,1.933
1917,12,2.397
1918,01,1.459
1918,02,1.583
1918,03,-0.389
1918,04,2.074
1918,05,1.088
1918,06,-0.783
1918,07,-1.379
1918,08,-0.642
1918,09,-0.852
1918,10,-0.621
1918,11,0.021
1918,12,-1.004
1919,01,-1.621
1919,02,-1.194
1919,03,-1.565
1919,04,-0.372
1919,05,-0.955
1919,06,-1.463
1919,07,-0.87
1919,08,-0.9
1919,09,-0.592
1919,10,-1.255
1919,11,-1.229
1919,12,-1.116
1920,01,0.176
1920,02,-0.292
1920,03,-0.626
1920,04,-0.098
1920,05,-0.398
1920,06,0.399
1920,07,0.922
1920,08,0.442
1920,09,0.468
1920,10,-0.687
1920,11,-0.194
1920,12,0.991
1921,01,1.091
1921,02,0.585
1921,03,1.072
1921,04,-1.279
1921,05,-0.011
1921,06,4.073
1921,07,0.29
1921,08,-0.878
1921,09,0.456
1921,10,0.974
1921,11,0.758
1921,12,0.815
1922,01,0.785
1922,02,0.773
1922,03,0.481
1922,04,-0.688
1922,05,-0.762
1922,06,0.449
1922,07,0.233
1922,08,-0.276
1922,09,0.463
1922,10,0.551
1922,11,0.758
1922,12,1.207
1923,01,0.561
1923,02,0.336
1923,03,0.844
1923,04,0.809
1923,05,-0.011
1923,06,-0.174
1923,07,-1.115
1923,08,-2.14
1923,09,-1.457
1923,10,-0.721
1923,11,-1.407
1923,12,0.13
1924,01,-0.681
1924,02,0.006
1924,03,0.111
1924,04,-1.954
1924,05,1.189
1924,06,0.845
1924,07,0.781
